hotelID,keywords1,keywords2,keywords3
68388,Clean rooms,Pool,
9454,weekend,hours tea coffee,
36445,YO bottle of Jameson,negative feelings,
63791,mixed drink,cold,
114730,wife,way,
11065,beds,elevator,
26358,soda,odor,
18705,force,Strong smell,
67302,noise,not well ,
12678,issue,disappointment All,
12837,hours tea coffee,,
126566,Hospitality room,hot tub minor ,
23361,water view,wife,
42271,mixed drink,hot tub minor ,
84761,Pizza,wife,
34070,way,key card,
60350,bill,elevator,
488,soda,,
1512,late service,not recommend,
2983, Great hotel. , loved it,
13340,snacks,water view,
10691,issue,mixed drink,
42409,hot tub minor ,Pizza,
3500,wife,way,
1967,key card,bill,
5073,elevator,soda,
13018,Clean rooms,Pool,
18726,weekend,hours tea coffee,
54316,YO bottle of Jameson,negative feelings,
10098,mixed drink,cold,
18049,wife,way,
2854,beds,elevator,
18626,soda,odor,
19357,force,Strong smell,
26062,noise,not well ,
84954,mixed drink,cold,
5880,wife,way,
11068,beds,elevator,
12578,soda,odor,
13218,force,Strong smell,
15240,noise,not well ,
15792,issue,disappointment All,
20504,hours tea coffee,,
26145,Hospitality room,hot tub minor ,
3763,water view,wife,
5415,mixed drink,hot tub minor ,
13260,Pizza,wife,
15962,way,key card,
42876,bill,elevator,
2707,soda,,
10807,late service,not recommend,
20392, Great hotel. , loved it,
22339,snacks,water view,
83747,issue,mixed drink,
108877,beer,,
23278,weekend,,
68680,bad beer,,
126775,nice perk,dam kids,
14036,Clean rooms,Pool,
17576,floor guests,good food hot,
12954,floor guests,negative feelings,
16733,noise,YO bottle of Jameson,
26554,snacks,water view,
3816,issue,mixed drink,
7592,hot tub minor ,margharita sweey,
22041,wife,way,
26243,key card,bill,
123336,elevator,soda,
7760,Clean rooms,Pool,
9835,weekend,hours tea coffee,
119710,YO bottle of Jameson,negative feelings,
461,mixed drink,cold,
7062,wife,way,
14386,beds,elevator,
26096,soda,odor,
115101,force,Strong smell,
9022,noise,not well ,
1084,issue,disappointment All,
2614,hours tea coffee,,
25869,Hospitality room,hot tub minor ,
50777,water view,wife,
16923,mixed drink,hot tub minor ,
9301,Pizza,wife,
23198,way,key card,
25505,bill,elevator,
210,soda,,
15710,late service,not recommend,
34624, Great hotel. , loved it,
41139,snacks,water view,
53466,issue,mixed drink,
62778,hot tub minor ,Pizza,
118739,wife,way,
8241,key card,bill,
10624,elevator,soda,
19104,Clean rooms,Pool,
64012,weekend,hours tea coffee,
5022,YO bottle of Jameson,negative feelings,
41662,mixed drink,cold,
46457,wife,way,
46710,beds,elevator,
7277,soda,odor,
15796,force,Strong smell,
4956,noise,not well ,
5154,mixed drink,cold,
11288,wife,way,
13638,beds,elevator,
23090,soda,odor,
40516,force,Strong smell,
64483,noise,not well ,
17422,issue,disappointment All,
14017,hours tea coffee,,
42440,Hospitality room,hot tub minor ,
12509,water view,wife,
1075,mixed drink,hot tub minor ,
41864,Pizza,wife,
7524,way,key card,
10031,bill,elevator,
11903,soda,,
28393,late service,not recommend,
10410, Great hotel. , loved it,
56267,snacks,water view,
4222,issue,mixed drink,
17167,beer,,
24830,weekend,,
12918,bad beer,,
19932,nice perk,dam kids,
26938,Clean rooms,Pool,
18296,floor guests,good food hot,
68694,floor guests,negative feelings,
76612,noise,YO bottle of Jameson,
15803,snacks,water view,
16435,issue,mixed drink,
20029,hot tub minor ,margharita sweey,
47781,wife,way,
56494,key card,bill,
8898,elevator,soda,
26501,Clean rooms,Pool,
25004,weekend,hours tea coffee,
42536,YO bottle of Jameson,negative feelings,
16658,mixed drink,cold,
22087,wife,way,
27616,beds,elevator,
64386,soda,odor,
117968,force,Strong smell,
16221,noise,not well ,
19658,issue,disappointment All,
11735,hours tea coffee,,
7632,Hospitality room,hot tub minor ,
20812,water view,wife,
21995,mixed drink,hot tub minor ,
10677,Pizza,wife,
6542,way,key card,
6562,bill,elevator,
17762,soda,,
42980,late service,not recommend,
1005, Great hotel. , loved it,
64675,snacks,water view,
5566,issue,mixed drink,
13408,hot tub minor ,Pizza,
14782,wife,way,
17788,key card,bill,
25210,elevator,soda,
129288,Clean rooms,Pool,
3554,weekend,hours tea coffee,
8167,YO bottle of Jameson,negative feelings,
123811,mixed drink,cold,
84384,wife,way,
2804,beds,elevator,
24296,soda,odor,
42003,force,Strong smell,
41415,noise,not well ,
4185,mixed drink,cold,
5089,wife,way,
6165,beds,elevator,
6516,soda,odor,
10222,force,Strong smell,
14217,noise,not well ,
2307,issue,disappointment All,
8535,hours tea coffee,,
14053,Hospitality room,hot tub minor ,
119367,water view,wife,
13598,mixed drink,hot tub minor ,
117703,Pizza,wife,
20737,way,key card,
20487,bill,elevator,
22287,soda,,
40234,late service,not recommend,
40735, Great hotel. , loved it,
25736,snacks,water view,
13568,issue,mixed drink,
17828,beer,,
48576,weekend,,
11603,bad beer,,
14123,nice perk,dam kids,
20441,Clean rooms,Pool,
40291,floor guests,good food hot,
2576,floor guests,negative feelings,
42506,noise,YO bottle of Jameson,
34705,snacks,water view,
13618,issue,mixed drink,
68366,hot tub minor ,margharita sweey,
1055,wife,way,
7505,key card,bill,
24202,elevator,soda,
27508,Clean rooms,Pool,
16786,weekend,hours tea coffee,
20023,YO bottle of Jameson,negative feelings,
21490,mixed drink,cold,
40237,wife,way,
74940,beds,elevator,
20440,soda,odor,
45312,force,Strong smell,
9249,noise,not well ,
9421,issue,disappointment All,
18010,hours tea coffee,,
10976,Hospitality room,hot tub minor ,
27027,water view,wife,
40301,mixed drink,hot tub minor ,
83120,Pizza,wife,
28329,way,key card,
52050,bill,elevator,
13891,soda,,
19561,late service,not recommend,
26066, Great hotel. , loved it,
116091,snacks,water view,
27717,issue,mixed drink,
9425,hot tub minor ,Pizza,
54163,wife,way,
3749,key card,bill,
12003,elevator,soda,
16429,Clean rooms,Pool,
17844,weekend,hours tea coffee,
23100,YO bottle of Jameson,negative feelings,
127064,mixed drink,cold,
5601,wife,way,
20653,beds,elevator,
26805,soda,odor,
28382,force,Strong smell,
41331,noise,not well ,
64082,mixed drink,cold,
65417,wife,way,
120544,beds,elevator,
25814,soda,odor,
122894,force,Strong smell,
12120,noise,not well ,
12491,issue,disappointment All,
15661,hours tea coffee,,
18193,Hospitality room,hot tub minor ,
2265,water view,wife,
17323,mixed drink,hot tub minor ,
42998,Pizza,wife,
11165,way,key card,
21108,bill,elevator,
106618,soda,,
27115,late service,not recommend,
3094, Great hotel. , loved it,
83064,snacks,water view,
10056,issue,mixed drink,
50512,beer,,
26415,weekend,,
84713,bad beer,,
17650,nice perk,dam kids,
40538,Clean rooms,Pool,
53264,floor guests,good food hot,
123743,floor guests,negative feelings,
8539,noise,YO bottle of Jameson,
43697,snacks,water view,
6937,issue,mixed drink,
16253,hot tub minor ,margharita sweey,
40669,wife,way,
119314,key card,bill,
5531,elevator,soda,
6487,Clean rooms,Pool,
8832,weekend,hours tea coffee,
9575,YO bottle of Jameson,negative feelings,
9811,mixed drink,cold,
21085,wife,way,
34329,beds,elevator,
64229,soda,odor,
100905,force,Strong smell,
111101,noise,not well ,
3573,issue,disappointment All,
5904,hours tea coffee,,
11824,Hospitality room,hot tub minor ,
24346,water view,wife,
40388,mixed drink,hot tub minor ,
74268,Pizza,wife,
124195,way,key card,
3021,bill,elevator,
42563,soda,,
42794,late service,not recommend,
123436, Great hotel. , loved it,
11119,snacks,water view,
15958,issue,mixed drink,
50752,hot tub minor ,Pizza,
8600,wife,way,
10036,key card,bill,
14216,elevator,soda,
20423,Clean rooms,Pool,
119908,weekend,hours tea coffee,
124448,YO bottle of Jameson,negative feelings,
43677,mixed drink,cold,
18260,wife,way,
28339,beds,elevator,
40085,soda,odor,
49876,force,Strong smell,
12261,noise,not well ,
6341,mixed drink,cold,
20977,wife,way,
2777,beds,elevator,
4903,soda,odor,
40264,force,Strong smell,
69310,noise,not well ,
40981,issue,disappointment All,
64100,hours tea coffee,,
5358,Hospitality room,hot tub minor ,
2398,water view,wife,
24784,mixed drink,hot tub minor ,
54490,Pizza,wife,
64863,way,key card,
43001,bill,elevator,
9363,soda,,
6575,late service,not recommend,
7985, Great hotel. , loved it,
18335,snacks,water view,
21853,issue,mixed drink,
22210,beer,mixed drink,cold
26732,weekend,wife,way
27932,bad beer,beds,elevator
42382,nice perk,dam kids,odor
59157,Clean rooms,Pool,Strong smell
82744,floor guests,good food hot,not well 
42340,floor guests,negative feelings,cold
28148,noise,YO bottle of Jameson,way
41626,snacks,water view,elevator
3034,issue,mixed drink,odor
9299,hot tub minor ,margharita sweey,Strong smell
36557,wife,way,not well 
68929,key card,bill,disappointment All
80862,elevator,soda,
54086,Clean rooms,Pool,hot tub minor 
67074,weekend,hours tea coffee,wife
18641,YO bottle of Jameson,negative feelings,hot tub minor 
21972,mixed drink,cold,wife
13599,wife,way,key card
117382,beds,elevator,elevator
119616,soda,odor,
5138,force,Strong smell,not recommend
5174,noise,not well , loved it
12206,issue,disappointment All,water view
43147,hours tea coffee,,mixed drink
44466,Hospitality room,hot tub minor ,
102503,water view,wife,
12685,mixed drink,hot tub minor ,
17377,Pizza,wife,dam kids
19388,way,key card,Pool
65995,bill,elevator,good food hot
6448,soda,,negative feelings
12038,late service,not recommend,YO bottle of Jameson
17994, Great hotel. , loved it,water view
42452,snacks,water view,mixed drink
53468,issue,mixed drink,margharita sweey
54298,hot tub minor ,Pizza,way
78956,wife,way,bill
1213,key card,bill,soda
45048,elevator,soda,Pool
16560,Clean rooms,Pool,hours tea coffee
37320,weekend,hours tea coffee,negative feelings
41445,YO bottle of Jameson,negative feelings,cold
126896,mixed drink,cold,way
14954,wife,way,elevator
21060,beds,elevator,odor
126757,soda,odor,Strong smell
42896,force,Strong smell,not well 
25669,noise,not well ,disappointment All
16558,mixed drink,cold,
17814,wife,way,hot tub minor 
25586,beds,elevator,wife
39802,soda,odor,hot tub minor 
124126,force,Strong smell,wife
11604,noise,not well ,key card
34648,issue,disappointment All,elevator
112823,hours tea coffee,,
4019,Hospitality room,hot tub minor ,not recommend
4207,water view,wife, loved it
21796,mixed drink,hot tub minor ,water view
23113,Pizza,wife,mixed drink
15160,way,key card,Pizza
23820,bill,elevator,way
41131,soda,,bill
82944,late service,not recommend,soda
84770, Great hotel. , loved it,Pool
24806,snacks,water view,hours tea coffee
24843,issue,mixed drink,negative feelings
27298,beer,,cold
78365,weekend,,way
4440,bad beer,,elevator
3099,nice perk,dam kids,odor
50533,Clean rooms,Pool,Strong smell
7328,floor guests,good food hot,not well 
41616,floor guests,negative feelings,cold
19898,noise,YO bottle of Jameson,way
7790,snacks,water view,elevator
1288,issue,mixed drink,odor
5369,hot tub minor ,margharita sweey,Strong smell
14847,wife,way,not well 
19391,key card,bill,disappointment All
21410,elevator,soda,
28019,Clean rooms,Pool,hot tub minor 
41831,weekend,hours tea coffee,wife
50766,YO bottle of Jameson,negative feelings,hot tub minor 
105943,mixed drink,cold,wife
2052,wife,way,key card
11690,beds,elevator,elevator
8556,soda,odor,
17732,force,Strong smell,not recommend
23003,noise,not well , loved it
28177,issue,disappointment All,water view
6450,hours tea coffee,,mixed drink
20805,Hospitality room,hot tub minor ,
26144,water view,wife,
54790,mixed drink,hot tub minor ,
66078,Pizza,wife,dam kids
10908,way,key card,Pool
17676,bill,elevator,good food hot
3406,soda,,negative feelings
12385,late service,not recommend,YO bottle of Jameson
27120, Great hotel. , loved it,water view
72266,snacks,water view,mixed drink
2147,issue,mixed drink,margharita sweey
3307,hot tub minor ,Pizza,way
13573,wife,way,bill
49660,key card,bill,soda
12563,elevator,soda,Pool
53359,Clean rooms,Pool,hours tea coffee
57232,weekend,hours tea coffee,negative feelings
123150,YO bottle of Jameson,negative feelings,cold
5191,mixed drink,cold,way
19088,wife,way,elevator
9464,beds,elevator,odor
17635,soda,odor,Strong smell
23247,force,Strong smell,not well 
10782,noise,not well ,disappointment All
10810,mixed drink,cold,
11261,wife,way,hot tub minor 
20791,beds,elevator,wife
51223,soda,odor,hot tub minor 
5954,force,Strong smell,wife
17472,noise,not well ,key card
19022,issue,disappointment All,elevator
40602,hours tea coffee,,
42710,Hospitality room,hot tub minor ,not recommend
49901,water view,wife, loved it
9714,mixed drink,hot tub minor ,water view
10046,Pizza,wife,mixed drink
27376,way,key card,Pizza
25645,bill,elevator,way
8578,soda,,bill
19883,late service,not recommend,soda
49347, Great hotel. , loved it,Pool
7627,snacks,water view,hours tea coffee
11294,issue,mixed drink,negative feelings
1505,beer,,cold
53,weekend,,way
120463,bad beer,,elevator
10614,nice perk,dam kids,odor
3403,Clean rooms,Pool,Strong smell
22905,floor guests,good food hot,not well 
35570,floor guests,negative feelings,cold
42911,noise,YO bottle of Jameson,way
54223,snacks,water view,elevator
74448,issue,mixed drink,odor
84912,hot tub minor ,margharita sweey,Strong smell
40271,wife,way,not well 
119034,key card,bill,disappointment All
2890,elevator,soda,
9140,Clean rooms,Pool,hot tub minor 
27104,weekend,hours tea coffee,wife
71631,YO bottle of Jameson,negative feelings,hot tub minor 
5685,mixed drink,cold,wife
21862,wife,way,key card
42180,beds,elevator,elevator
54752,soda,odor,
61923,force,Strong smell,not recommend
16024,noise,not well , loved it
40901,issue,disappointment All,water view
64827,hours tea coffee,,mixed drink
79183,Hospitality room,hot tub minor ,
14451,water view,wife,
48038,mixed drink,hot tub minor ,
10328,Pizza,wife,dam kids
12519,way,key card,Pool
16734,bill,elevator,good food hot
16817,soda,,negative feelings
27549,late service,not recommend,YO bottle of Jameson
42811, Great hotel. , loved it,water view
10852,snacks,water view,mixed drink
16600,issue,mixed drink,margharita sweey
18738,hot tub minor ,Pizza,way
23904,wife,way,bill
67882,key card,bill,soda
5999,elevator,soda,Pool
19235,Clean rooms,Pool,hours tea coffee
20796,weekend,hours tea coffee,negative feelings
42663,YO bottle of Jameson,negative feelings,cold
20095,mixed drink,cold,way
21602,wife,way,elevator
27122,beds,elevator,odor
69160,soda,odor,Strong smell
19623,force,Strong smell,not well 
20836,noise,not well ,disappointment All
26908,mixed drink,cold,
14338,wife,way,hot tub minor 
19867,beds,elevator,wife
52875,soda,odor,hot tub minor 
71919,force,Strong smell,wife
21858,noise,not well ,key card
14339,issue,disappointment All,elevator
19964,hours tea coffee,,
49453,Hospitality room,hot tub minor ,not recommend
49932,water view,wife, loved it
50551,mixed drink,hot tub minor ,water view
54263,Pizza,wife,mixed drink
5087,way,key card,Pizza
13532,bill,elevator,way
18272,soda,,bill
36470,late service,not recommend,soda
79428, Great hotel. , loved it,Pool
75140,snacks,water view,hours tea coffee
15,issue,mixed drink,negative feelings
2772,beer,,cold
6406,weekend,,way
7648,bad beer,,elevator
8519,nice perk,dam kids,odor
11815,Clean rooms,Pool,Strong smell
16188,floor guests,good food hot,not well 
21076,floor guests,negative feelings,cold
21184,noise,YO bottle of Jameson,way
84649,snacks,water view,elevator
120659,issue,mixed drink,odor
4155,hot tub minor ,margharita sweey,Strong smell
25918,wife,way,not well 
117529,key card,bill,disappointment All
1618,elevator,soda,
42130,Clean rooms,Pool,hot tub minor 
5718,weekend,hours tea coffee,wife
83212,YO bottle of Jameson,negative feelings,hot tub minor 
9420,mixed drink,cold,wife
42417,wife,way,key card
16894,beds,elevator,elevator
5537,soda,odor,
21280,force,Strong smell,not recommend
21612,noise,not well , loved it
25720,issue,disappointment All,water view
50114,hours tea coffee,,mixed drink
42488,Hospitality room,hot tub minor ,
18042,water view,wife,
62264,mixed drink,hot tub minor ,
14227,Pizza,wife,dam kids
9384,way,key card,Pool
54586,bill,elevator,good food hot
25672,soda,,negative feelings
64254,late service,not recommend,YO bottle of Jameson
13330, Great hotel. , loved it,water view
14894,snacks,water view,mixed drink
19654,issue,mixed drink,margharita sweey
22426,hot tub minor ,Pizza,way
64018,wife,way,bill
64101,key card,bill,soda
2079,elevator,soda,Pool
12033,Clean rooms,Pool,hours tea coffee
13141,weekend,hours tea coffee,negative feelings
21819,YO bottle of Jameson,negative feelings,cold
21977,mixed drink,cold,way
42624,wife,way,elevator
14564,beds,elevator,odor
14658,soda,odor,Strong smell
27651,force,Strong smell,not well 
84959,noise,not well ,disappointment All
51029,mixed drink,cold,
54283,wife,way,hot tub minor 
2657,beds,elevator,wife
63047,soda,odor,hot tub minor 
120496,force,Strong smell,wife
16161,noise,not well ,key card
21773,issue,disappointment All,elevator
40831,hours tea coffee,,
23653,Hospitality room,hot tub minor ,not recommend
22374,water view,wife, loved it
26799,mixed drink,hot tub minor ,water view
3700,Pizza,wife,mixed drink
4796,way,key card,Pizza
24979,bill,elevator,way
63802,soda,,bill
23152,late service,not recommend,soda
105951, Great hotel. , loved it,Pool
5730,snacks,water view,hours tea coffee
5959,issue,mixed drink,negative feelings
12756,beer,,cold
22270,weekend,,way
16781,bad beer,,elevator
26305,nice perk,dam kids,odor
4274,Clean rooms,Pool,Strong smell
60548,floor guests,good food hot,not well 
70426,floor guests,negative feelings,cold
945,noise,YO bottle of Jameson,way
25394,snacks,water view,elevator
123185,issue,mixed drink,odor
115029,hot tub minor ,margharita sweey,Strong smell
12898,wife,way,not well 
11789,key card,bill,disappointment All
27364,elevator,soda,
7521,Clean rooms,Pool,hot tub minor 
14812,weekend,hours tea coffee,wife
15923,YO bottle of Jameson,negative feelings,hot tub minor 
24666,mixed drink,cold,wife
4304,wife,way,key card
7796,beds,elevator,elevator
10889,soda,odor,
22623,force,Strong smell,not recommend
28343,noise,not well , loved it
8930,issue,disappointment All,water view
50570,hours tea coffee,,mixed drink
15535,Hospitality room,hot tub minor ,
7269,water view,wife,
16998,mixed drink,hot tub minor ,
4787,Pizza,wife,dam kids
14733,way,key card,Pool
4447,bill,elevator,good food hot
54871,soda,,negative feelings
7017,late service,not recommend,YO bottle of Jameson
19868, Great hotel. , loved it,water view
81486,snacks,water view,mixed drink
126664,issue,mixed drink,margharita sweey
26018,hot tub minor ,Pizza,way
26184,wife,way,bill
28023,key card,bill,soda
85166,elevator,soda,Pool
117409,Clean rooms,Pool,hours tea coffee
1068,weekend,hours tea coffee,negative feelings
4343,YO bottle of Jameson,negative feelings,cold
5895,mixed drink,cold,way
24555,wife,way,elevator
62685,beds,elevator,odor
1109,soda,odor,Strong smell
1113,force,Strong smell,not well 
7146,noise,not well ,disappointment All
7788,mixed drink,cold,
23401,wife,way,hot tub minor 
7812,beds,elevator,wife
4579,soda,odor,hot tub minor 
4165,force,Strong smell,wife
10955,noise,not well ,key card
119941,issue,disappointment All,elevator
2097,hours tea coffee,,
40917,Hospitality room,hot tub minor ,not recommend
4676,water view,wife, loved it
11655,mixed drink,hot tub minor ,water view
22841,Pizza,wife,mixed drink
43447,way,key card,Pizza
26649,bill,elevator,way
2722,soda,,bill
13009,late service,not recommend,soda
26270, Great hotel. , loved it,Pool
26467,snacks,water view,hours tea coffee
117118,issue,mixed drink,negative feelings
25828,beer,,cold
949,weekend,,way
11205,bad beer,,elevator
20307,nice perk,dam kids,odor
26854,Clean rooms,Pool,Strong smell
42305,floor guests,good food hot,not well 
24380,floor guests,negative feelings,cold
34105,noise,YO bottle of Jameson,way
14438,snacks,water view,elevator
42659,issue,mixed drink,odor
22709,hot tub minor ,margharita sweey,Strong smell
935,wife,way,not well 
63550,key card,bill,disappointment All
21087,elevator,soda,
116871,Clean rooms,Pool,hot tub minor 
11306,weekend,hours tea coffee,wife
6026,YO bottle of Jameson,negative feelings,hot tub minor 
8164,mixed drink,cold,wife
49491,wife,way,key card
68864,beds,elevator,elevator
7580,soda,odor,
8240,force,Strong smell,not recommend
16971,noise,not well , loved it
84448,issue,disappointment All,water view
1345,hours tea coffee,,mixed drink
64120,Hospitality room,hot tub minor ,
28150,water view,wife,
111799,mixed drink,hot tub minor ,
34869,Pizza,wife,
66024,way,key card,
7044,bill,elevator,
283,soda,,
21066,late service,not recommend,
505, Great hotel. , loved it,
23524,snacks,water view,
28594,issue,mixed drink,
9224,hot tub minor ,Pizza,
11772,wife,way,
20878,key card,bill,
84758,elevator,soda,
3363,Clean rooms,Pool,
13134,weekend,hours tea coffee,
22729,YO bottle of Jameson,negative feelings,
64558,mixed drink,cold,
26251,wife,way,
3358,beds,elevator,
10872,soda,odor,
13706,force,Strong smell,
19509,noise,not well ,
34487,mixed drink,cold,
41218,wife,way,
68957,beds,elevator,
14383,soda,odor,
77638,force,Strong smell,
20823,noise,not well ,
7354,issue,disappointment All,
25126,hours tea coffee,,
42745,Hospitality room,hot tub minor ,
85184,water view,wife,
4147,mixed drink,hot tub minor ,
20220,Pizza,wife,
22586,way,key card,
64040,bill,elevator,
12084,soda,,
27966,late service,not recommend,
1956, Great hotel. , loved it,
8939,snacks,water view,
12520,issue,mixed drink,
16047,beer,,
41734,weekend,,
67767,bad beer,,
79484,nice perk,dam kids,
21482,Clean rooms,Pool,
21728,floor guests,good food hot,
15078,floor guests,negative feelings,
15478,noise,YO bottle of Jameson,
16790,snacks,water view,
40694,issue,mixed drink,
60403,hot tub minor ,margharita sweey,
754,wife,way,
3917,key card,bill,
9461,elevator,soda,
19177,Clean rooms,Pool,
19499,weekend,hours tea coffee,
24622,YO bottle of Jameson,negative feelings,
54309,mixed drink,cold,
64248,wife,way,
74659,beds,elevator,
114868,soda,odor,
120268,force,Strong smell,
16506,noise,not well ,
21408,issue,disappointment All,
23011,hours tea coffee,,
11756,Hospitality room,hot tub minor ,
15736,water view,wife,
23982,mixed drink,hot tub minor ,
26686,Pizza,wife,
60644,way,key card,
79771,bill,elevator,
5212,soda,,
5861,late service,not recommend,
116673, Great hotel. , loved it,
7218,snacks,water view,
23787,issue,mixed drink,
124314,hot tub minor ,Pizza,
13804,wife,way,
39916,key card,bill,
64425,elevator,soda,
84682,Clean rooms,Pool,
105082,weekend,hours tea coffee,
5308,YO bottle of Jameson,negative feelings,
6364,mixed drink,cold,
77716,wife,way,
22362,beds,elevator,
24688,soda,odor,
48029,force,Strong smell,
23463,noise,not well ,
119147,mixed drink,cold,
73509,wife,way,
82989,beds,elevator,
3223,soda,odor,
28215,force,Strong smell,
15385,noise,not well ,
6389,issue,disappointment All,
19589,hours tea coffee,,
21887,Hospitality room,hot tub minor ,
26841,water view,wife,
108936,mixed drink,hot tub minor ,
62814,Pizza,wife,
235,way,key card,
17694,bill,elevator,
1194,soda,,
50681,late service,not recommend,
116577, Great hotel. , loved it,
827,snacks,water view,
4803,issue,mixed drink,
11693,beer,,
21272,weekend,,
22724,bad beer,,
23790,nice perk,dam kids,
127027,Clean rooms,Pool,
108791,floor guests,good food hot,
27263,floor guests,negative feelings,
1873,noise,YO bottle of Jameson,
7987,snacks,water view,
45840,issue,mixed drink,
24818,hot tub minor ,margharita sweey,
2024,wife,way,
3957,key card,bill,
20219,elevator,soda,
28627,Clean rooms,Pool,
34099,weekend,hours tea coffee,
41908,YO bottle of Jameson,negative feelings,
48823,mixed drink,cold,
25151,wife,way,
12936,beds,elevator,
42533,soda,odor,
16968,force,Strong smell,
68473,noise,not well ,
2368,issue,disappointment All,
13803,hours tea coffee,,
20455,Hospitality room,hot tub minor ,
39737,water view,wife,
47690,mixed drink,hot tub minor ,
50563,Pizza,wife,
126644,way,key card,
481,bill,elevator,
1877,soda,,
4345,late service,not recommend,
22216, Great hotel. , loved it,
344,snacks,water view,
2858,issue,mixed drink,
21713,hot tub minor ,Pizza,
26696,wife,way,
123713,key card,bill,
4505,elevator,soda,
10891,Clean rooms,Pool,
15253,weekend,hours tea coffee,
17420,YO bottle of Jameson,negative feelings,
26456,mixed drink,cold,
34782,wife,way,
3522,beds,elevator,
4609,soda,odor,
14900,force,Strong smell,
24107,noise,not well ,
25859,mixed drink,cold,
15138,wife,way,
22429,beds,elevator,
26164,soda,odor,
43517,force,Strong smell,
109626,noise,not well ,
16613,issue,disappointment All,
17400,hours tea coffee,,
20490,Hospitality room,hot tub minor ,
21197,water view,wife,
22973,mixed drink,hot tub minor ,
23444,Pizza,wife,
26528,way,key card,
4673,bill,elevator,
42983,soda,,
12702,late service,not recommend,
28309, Great hotel. , loved it,
127037,snacks,water view,
2394,issue,mixed drink,
10956,beer,,
24543,weekend,,
40355,bad beer,,
84334,nice perk,dam kids,
6005,Clean rooms,Pool,
26103,floor guests,good food hot,
26564,floor guests,negative feelings,
1251,noise,YO bottle of Jameson,
6990,snacks,water view,
12404,issue,mixed drink,
15011,hot tub minor ,margharita sweey,
22916,wife,way,
34317,key card,bill,
34719,elevator,soda,
54266,Clean rooms,Pool,
2266,weekend,hours tea coffee,
7546,YO bottle of Jameson,negative feelings,
12910,mixed drink,cold,
15298,wife,way,
4813,beds,elevator,
4975,soda,odor,
9927,force,Strong smell,
15813,noise,not well ,
34841,issue,disappointment All,
63568,hours tea coffee,,
74606,Hospitality room,hot tub minor ,
84921,water view,wife,
2245,mixed drink,hot tub minor ,
6146,Pizza,wife,
7837,way,key card,
14808,bill,elevator,
23294,soda,,
3952,late service,not recommend,
5464, Great hotel. , loved it,
7143,snacks,water view,
10917,issue,mixed drink,
23419,hot tub minor ,Pizza,
51148,wife,way,
8454,key card,bill,
50424,elevator,soda,
112846,Clean rooms,Pool,
7597,weekend,hours tea coffee,
27452,YO bottle of Jameson,negative feelings,
123852,mixed drink,cold,
4144,wife,way,
42944,beds,elevator,
55916,soda,odor,
63886,force,Strong smell,
21056,noise,not well ,
21470,mixed drink,cold,
39957,wife,way,
12911,beds,elevator,
14475,soda,odor,
2247,force,Strong smell,
6966,noise,not well ,
70896,issue,disappointment All,
16487,hours tea coffee,,
10950,Hospitality room,hot tub minor ,
64387,water view,wife,
83016,mixed drink,hot tub minor ,
22497,Pizza,wife,
83789,way,key card,
2648,bill,elevator,
9923,soda,,
119049,late service,not recommend,
27672, Great hotel. , loved it,
74885,snacks,water view,
66758,issue,mixed drink,
9187,beer,,
45673,weekend,,
9766,bad beer,,
18011,nice perk,dam kids,
19360,Clean rooms,Pool,
39774,floor guests,good food hot,
67375,floor guests,negative feelings,
4510,noise,YO bottle of Jameson,
25226,snacks,water view,
55536,issue,mixed drink,
1300,hot tub minor ,margharita sweey,
14358,wife,way,
17112,key card,bill,
34594,elevator,soda,
48720,Clean rooms,Pool,
16268,weekend,hours tea coffee,
59995,YO bottle of Jameson,negative feelings,
233,mixed drink,cold,
3896,wife,way,
6806,beds,elevator,
16510,soda,odor,
79485,force,Strong smell,
84814,noise,not well ,
7718,issue,disappointment All,
39977,hours tea coffee,,
1694,Hospitality room,hot tub minor ,
12616,water view,wife,
26924,mixed drink,hot tub minor ,
1076,Pizza,wife,
3113,way,key card,
20148,bill,elevator,
21188,soda,,
40128,late service,not recommend,
45103, Great hotel. , loved it,
77495,snacks,water view,
125935,issue,mixed drink,
126865,hot tub minor ,Pizza,
60844,wife,way,
7341,key card,bill,
11394,elevator,soda,
12241,Clean rooms,Pool,
24323,weekend,hours tea coffee,
9685,YO bottle of Jameson,negative feelings,
15088,mixed drink,cold,
26776,wife,way,
41534,beds,elevator,
44181,soda,odor,
3662,force,Strong smell,
40186,noise,not well ,
117807,mixed drink,cold,
680,wife,way,
5592,beds,elevator,
13529,soda,odor,
10316,force,Strong smell,
20804,noise,not well ,
43247,issue,disappointment All,
79238,hours tea coffee,,
104190,Hospitality room,hot tub minor ,
16308,water view,wife,
17460,mixed drink,hot tub minor ,
43433,Pizza,wife,
10201,way,key card,
10035,bill,elevator,
17661,soda,,
26060,late service,not recommend,
85066, Great hotel. , loved it,
9323,snacks,water view,
13845,issue,mixed drink,
42008,beer,,
43661,weekend,,
45467,bad beer,,
84541,nice perk,dam kids,
8707,Clean rooms,Pool,
9235,floor guests,good food hot,
19989,floor guests,negative feelings,
27917,noise,YO bottle of Jameson,
72,snacks,water view,
21028,issue,mixed drink,
27843,hot tub minor ,margharita sweey,
53238,wife,way,
13369,key card,bill,
16288,elevator,soda,
25259,Clean rooms,Pool,
590,weekend,hours tea coffee,
24520,YO bottle of Jameson,negative feelings,
